Day,Lane,Class,No,Start,Name,Kana,Club,CardNumber,CardMode,StartType,SourceID,Group,ParticipantCount,Members,Notes
day1,Lane 1,W21A,101,10:30:00,Runner A16,A16,West OC,800016,マイSI持参,interval,S014,0,1,Runner A16,
day1,Lane 1,W21A,102,10:31:00,Runner A03,A03,East OC,800003,マイSI持参,interval,S003,0,1,Runner A03,
day1,Lane 1,M21A,103,10:33:00,Runner A15,A15,East OC,800015,マイSI持参,interval,S013,0,1,Runner A15,
day1,Lane 1,M21A,105,10:34:00,Runner A01,A01,North OC,800001,マイSI持参,interval,S001,0,1,Runner A01,
day1,Lane 1,M21A,104,10:35:00,Runner A02,A02,North OC,800002,マイSI持参,interval,S002,0,1,Runner A02,Day1 late-start request
day1,Lane 2,チャレンジグループ,202,10:30:00,Team Meadow,,Meadow OC,,Day1レンタル,interval,S012,1,2,Runner A13 / Runner A14,
day1,Lane 2,チャレンジソロ,203,10:32:00,Runner A10,A10,River OC,800010,マイSI持参,interval,S010,0,1,Runner A10,
day1,Lane 2,W50A,204,10:34:00,Runner A05,A05,South OC,,2日間レンタル,interval,S005,0,1,Runner A05,
day1,Lane 2,M35A,205,10:36:00,Runner A06,A06,Lake OC,800006,マイSI持参,interval,S006,0,1,Runner A06,
day1,Lane 2,ライトソロ,201,free,Runner A08,A08,Trail OC,,Day1レンタル,free,S008,0,1,Runner A08,
